book_id,author_id
1,2518
1,9087
2,2518
2,9087
4,2518
5,2518
5,9087
8,2518
8,9087
9,3016
10,2518
12,7067
13,7067
14,7067
16,7067
16,6856
18,7067
21,2374
22,2374
23,2374
24,2374
25,2374
26,2374
27,2374
28,2374
29,2374
30,1702
31,1702
34,1702
35,1702
35,6556
36,2121
36,4906
36,1444
37,5261
45,1637
45,4385
45,7475
45,4457
45,8470
45,1452
50,6918
51,1180
51,6220
51,8348
53,6918
54,3492
55,8589
57,3260
57,5151
57,2103
57,3416
57,2207
57,3262
57,3789
57,3493
57,485
58,6185
59,2789
61,779
63,7997
66,3777
67,8599
68,8599
68,5424
69,8599
71,6102
72,6333
74,4038
74,2504
75,4038
76,4038
77,4038
78,4038
79,4038
80,4038
81,4038
83,4038
85,2690
86,2690
89,5736
90,7028
91,333
91,2889
92,5736
93,7743
93,3677
93,6257
94,5736
96,2889
96,333
98,7745
98,2978
98,5654
98,166
98,8234
99,5019
99,8257
100,7028
103,3462
105,3462
106,3462
107,8372
109,3462
110,3462
110,8372
110,464
117,3462
119,348
122,1752
123,1752
129,2869
129,8571
129,140
130,1193
131,2285
132,632
133,7807
135,851
135,451
137,7807
138,1980
139,7807
140,7807
141,3614
141,1974
142,2735
144,2735
147,2911
151,8230
151,6786
151,4231
152,8230
152,7237
152,217
153,8230
153,6786
153,4231
153,5771
154,5656
154,8230
155,8230
155,1888
155,6632
156,8230
156,1110
156,7663
157,8230
157,6632
157,1888
159,6249
160,3
162,2890
162,3231
163,8558
164,6469
164,2760
165,7980
166,1657
166,4281
168,8058
168,5131
168,6718
171,3154
177,2466
177,3635
177,6329
180,1535
180,6430
181,3663
182,4955
201,3663
204,5658
205,6353
207,2183
207,796
207,5334
208,1825
213,2971
213,3455
214,2971
214,8948
216,2971
216,7576
230,2971
231,1791
237,4063
237,1234
237,6057
244,8621
245,8864
245,1433
247,8864
249,8864
249,3413
250,8864
251,8864
252,8864
253,8864
264,6321
264,8693
269,6321
269,9164
269,8362
277,6392
278,6392
278,663
280,6392
280,6323
285,2689
285,7659
285,8613
288,2968
288,1648
288,2689
289,2689
289,4197
289,2854
290,2689
290,1648
291,2689
291,1648
291,155
292,2689
292,1648
295,4411
296,4411
296,2010
297,4411
298,4411
298,7550
298,9184
299,4411
299,1781
302,8402
302,6217
302,4411
313,551
324,4691
330,2606
332,1993
333,7759
337,1987
348,5091
350,5091
354,5091
355,5091
356,5091
357,7067
359,7067
362,618
367,5196
377,7067
377,7318
382,1815
382,2470
385,6693
386,7320
394,3748
397,8355
397,7489
399,8291
400,8291
403,8291
404,8291
406,8291
407,8291
408,8291
409,4057
410,4057
411,4057
412,4057
413,4057
413,3532
413,8231
414,4057
415,4057
416,4057
418,135
418,4057
420,317
421,317
422,317
423,317
424,317
425,317
426,317
426,6414
428,317
428,829
431,5283
431,3533
431,7880
432,5283
434,5283
435,5283
444,4401
444,7447
444,5420
446,5283
447,5283
453,5283
454,5283
456,5283
463,5283
466,5283
475,6827
476,2796
476,680
477,4907
478,948
481,1382
484,3474
484,8333
484,7528
484,1056
484,6361
493,726
494,303
494,4977
497,3077
498,726
498,9193
511,4331
511,582
511,523
515,1637
515,7698
515,1881
523,7050
523,4483
523,7824
524,7824
531,3201
534,4144
534,8138
537,6939
538,6939
539,7431
565,8442
565,5933
570,899
576,4139
576,2041
576,9228
597,6770
599,6770
619,4298
629,7852
639,4619
639,2520
639,9106
642,6609
642,2379
643,1780
650,8802
650,5725
655,8230
655,5232
656,8230
656,7189
656,7663
656,1110
658,8230
658,6632
662,3940
662,2736
663,3940
664,3940
665,3940
665,4527
667,3940
668,3940
668,2736
669,3940
669,4527
669,7899
669,7967
670,3940
670,3484
670,2736
672,2305
672,8680
675,105
676,6287
678,3787
681,7992
685,2214
685,2489
698,9027
700,5701
700,20
702,9029
702,5938
703,1139
707,2954
759,4691
759,6809
759,2225
762,4691
763,4691
764,4691
765,4691
765,6578
766,4691
771,4905
775,9
775,5161
787,2300
787,1735
787,6936
793,5221
793,12
793,7105
797,5221
797,12
797,7991
799,5221
799,3973
815,3904
816,6583
821,6583
822,6583
823,6583
824,6583
824,7483
826,6583
827,6583
827,3251
828,6583
828,2444
828,2316
829,6583
830,6583
830,6621
834,8741
834,8174
835,8741
835,8174
840,2955
841,2955
842,2955
848,3817
848,1805
848,3396
864,7177
864,4254
864,5569
865,7177
865,4254
865,3579
866,4915
866,9090
868,4915
868,9090
869,4915
869,9090
870,4915
870,9090
871,4915
871,9090
872,7177
872,4254
872,5507
873,4915
873,9090
880,3164
888,5937
888,1678
890,3393
900,836
902,1337
903,779
929,4581
930,4581
931,4581
932,1323
932,4646
932,647
932,4581
933,4581
935,5301
935,5405
941,4378
941,934
944,1583
944,5349
955,4275
960,5691
965,5691
966,5691
966,581
968,5691
969,5691
972,5691
972,7256
975,5691
977,5691
980,5691
987,2221
998,9205
998,9102
1005,5882
1007,5882
1014,2294
1022,8601
1032,5033
1032,2422
1052,7038
1053,7038
1059,2414
1059,3561
1067,7160
1068,4161
1068,1296
1073,2457
1078,4252
1090,8210
1097,7506
1099,7506
1103,2031
1110,1847
1111,6023
1117,8069
1120,6686
1120,2049
1121,8478
1121,553
1123,6686
1130,501
1130,2931
1130,7432
1138,4290
1138,8702
1164,2989
1164,3414
1167,5050
1167,1507
1169,6483
1171,6386
1177,6852
1188,7455
1188,4715
1188,3127
1191,3362
1191,1713
1192,3362
1193,3362
1193,1713
1196,6721
1196,8117
1197,6721
1197,4687
1197,5102
1197,3205
1198,6721
1198,8117
1202,1377
1202,1957
1204,1377
1204,1957
1206,1377
1206,1957
1218,3188
1226,3200
1230,3200
1230,4004
1230,769
1234,4868
1241,5663
1242,6791
1243,1268
1243,8472
1246,1401
1246,5100
1252,379
1255,5539
1265,7398
1274,5620
1276,5620
1281,5620
1290,3846
1290,6956
1295,8480
1296,8480
1301,6386
1302,8341
1303,1843
1303,6056
1305,7354
1307,8015
1307,711
1312,7064
1315,7354
1317,7354
1318,7354
1319,7354
1319,3875
1320,2054
1320,7354
1322,235
1322,7354
1326,8379
1326,3299
1327,8379
1327,2854
1328,8379
1328,3872
