id,title,isbn,language_code,num_pages,pub_year,total_copies,in_stock
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),9780439785969,eng,652,9/16/2006,17,2
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),9780439358071,eng,870,9/1/2004,4,4
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),9780439554893,eng,352,11/1/2003,19,0
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),9780439655484,eng,435,5/1/2004,5,5
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),9780439682589,eng,2690,9/13/2004,16,0
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",9780976540601,en-US,152,4/26/2005,11,11
10,Harry Potter Collection (Harry Potter  #1-6),9780439827607,eng,3342,9/12/2005,3,0
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),9780517226957,eng,815,11/1/2005,8,8
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),9780345453747,eng,815,4/30/2002,19,1
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),9781400052929,eng,215,8/3/2004,17,12
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),9780739322208,eng,6,3/23/2005,7,5
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),9780517149256,eng,815,1/17/1996,6,4
21,A Short History of Nearly Everything,9780767908184,eng,544,9/14/2004,8,4
22,Bill Bryson's African Diary,9780767915069,eng,55,12/3/2002,10,5
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,9780767910439,eng,256,9/14/2004,17,2
24,In a Sunburned Country,9780767903868,eng,335,5/15/2001,8,0
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,9780767903820,eng,304,6/28/2000,16,16
26,The Lost Continent: Travels in Small Town America,9780060920081,eng,299,8/28/1990,17,17
27,Neither Here nor There: Travels in Europe,9780380713806,eng,254,3/28/1993,6,1
28,Notes from a Small Island,9780380727506,eng,324,5/28/1997,9,4
29,The Mother Tongue: English and How It Got That Way,9780380715435,eng,270,9/28/1991,17,7
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,9780345538376,eng,1728,9/25/2012,19,1
31,The Lord of the Rings (The Lord of the Rings  #1-3),9780618517657,eng,1184,10/21/2004,4,2
34,The Fellowship of the Ring (The Lord of the Rings  #1),9780618346257,eng,398,9/5/2003,3,1
35,The Lord of the Rings (The Lord of the Rings  #1-3),9780618260584,en-US,1216,10/1/2002,2,0
36,The Lord of the Rings: Weapons and Warfare,9780618391004,eng,218,11/5/2003,20,11
37,The Lord of the Rings: Complete Visual Companion,9780618510825,eng,224,11/15/2004,2,1
45,Agile Web Development with Rails: A Pragmatic Guide,9780976694007,eng,558,7/28/2005,1,0
