id,book_id,borrower_id,date_borrow,date_due,date_return,fee
1,38107,858,2022-10-01,2022-12-10,2022-10-31,
2,14091,533,2023-05-08,2023-06-12,2023-06-03,
3,17364,493,2023-05-25,2023-06-29,2023-05-26,
4,32137,439,2023-01-18,2023-02-15,2023-01-18,
5,11862,372,2023-04-29,2023-06-24,2023-06-01,
6,37451,895,2022-09-18,2022-11-20,2022-10-29,
7,288,567,2023-08-05,2023-10-07,2023-09-07,
8,8048,236,2023-05-03,2023-07-12,2023-06-27,
9,1368,305,2023-05-31,2023-08-23,2023-07-18,
10,15904,312,2023-06-06,2023-06-27,2023-06-16,
11,30968,314,2022-12-28,2023-02-01,2023-01-21,
12,30323,211,2023-06-25,2023-09-03,2023-07-15,
13,7439,266,2022-11-01,2022-12-06,2022-11-26,
14,38399,711,2022-12-31,2023-01-21,2023-02-03,1.30
15,26913,582,2023-01-26,2023-04-13,2023-03-02,
16,24842,134,2022-10-21,2022-11-18,2022-10-29,
17,22483,282,2022-11-02,2023-01-25,2022-12-24,
18,28865,233,2022-10-25,2022-12-13,2022-11-01,
19,8510,58,2023-02-06,2023-02-27,2023-02-14,
20,19898,398,2023-04-07,2023-06-02,2023-05-11,
21,9019,319,2023-03-31,2023-06-02,2023-05-01,
22,36023,654,2023-06-29,2023-07-20,2023-07-06,
23,27766,597,2022-12-17,2023-03-11,2023-01-26,
24,11780,382,2022-10-16,2023-01-01,2022-11-04,
25,14467,604,2023-07-22,2023-09-02,2023-08-31,
26,40526,772,2023-08-31,2023-09-21,2023-09-03,
27,11413,28,2023-07-19,2023-08-09,2023-08-01,
28,11767,806,2022-12-15,2023-02-02,2023-01-25,
29,9531,956,2023-05-28,2023-07-16,2023-06-22,
30,11069,170,2023-07-19,2023-10-11,2023-07-31,
31,21665,576,2023-02-02,2023-03-09,2023-02-10,
32,41654,156,2023-07-13,2023-08-17,2023-07-13,
33,39028,303,2023-03-22,2023-04-26,2023-03-23,
34,42603,549,2023-03-29,2023-05-31,2023-05-19,
35,3859,149,2023-04-28,2023-06-09,2023-05-19,
36,23410,300,2023-04-17,2023-06-26,2023-05-15,
37,29122,914,2022-11-14,2022-12-05,,28.40
38,40293,687,2023-02-19,2023-03-12,2023-02-24,
39,6625,621,2023-03-19,2023-04-23,2023-04-05,
40,31644,622,2022-11-09,2022-12-14,2022-12-05,
41,6937,917,2023-07-10,2023-08-07,2023-07-20,
42,30206,351,2022-12-12,2023-01-16,2022-12-25,
43,30515,698,2023-09-12,2023-11-21,2023-09-14,
44,37395,695,2022-09-24,2022-10-15,2022-09-27,
45,32691,497,2023-08-21,2023-10-16,2023-09-07,
46,13590,632,2023-02-05,2023-03-12,2023-02-10,
47,11478,705,2023-08-25,2023-10-20,2023-09-21,
48,11625,343,2023-07-11,2023-08-22,2023-07-16,
49,367,876,2022-11-22,2023-02-14,,21.30
50,5509,250,2022-12-25,2023-02-05,2023-01-08,
51,38426,700,2023-03-07,2023-05-09,2023-04-27,
52,23799,805,2023-05-29,2023-06-19,2023-05-30,
53,34819,37,2022-12-01,2023-01-19,2023-01-03,
54,3604,5,2023-05-02,2023-05-30,2023-05-24,
55,22127,538,2023-05-01,2023-06-19,,8.80
56,15971,495,2022-10-29,2022-11-19,2022-10-29,
57,31833,201,2023-03-24,2023-05-26,2023-04-19,
58,11780,299,2023-06-11,2023-08-06,2023-06-11,
59,356,717,2023-04-15,2023-06-10,2023-04-22,
60,1937,117,2022-10-08,2022-10-29,2022-10-17,
61,9975,784,2023-03-30,2023-06-15,2023-05-06,
62,44531,821,2023-08-17,2023-10-05,2023-10-05,
63,33569,849,2023-03-17,2023-04-28,2023-04-24,
64,25653,765,2023-03-28,2023-05-16,2023-03-31,
65,18844,825,2022-10-06,2022-11-17,2022-11-04,
66,3479,304,2023-06-23,2023-09-15,2023-08-04,
67,45280,33,2022-10-04,2022-12-27,2022-10-07,
68,1167,741,2023-03-11,2023-04-01,2023-03-29,
69,10517,732,2023-03-20,2023-06-05,2023-03-22,
70,6140,369,2023-01-15,2023-04-09,2023-01-27,
71,98,420,2022-11-23,2023-01-04,2022-11-25,
72,3006,801,2023-01-05,2023-02-16,2023-01-23,
73,21767,990,2023-09-14,2023-11-16,2023-09-17,
74,10965,550,2022-10-17,2022-12-26,2022-12-25,
75,9099,468,2023-06-19,2023-07-24,2023-06-20,
76,38568,990,2022-10-03,2022-12-12,2022-12-06,
77,45626,499,2023-06-21,2023-09-06,2023-07-13,
78,16900,406,2022-10-11,2022-12-20,2022-12-14,
79,16441,270,2022-10-08,2022-11-26,2022-11-25,
80,12965,960,2022-10-19,2022-12-14,,27.50
81,13122,9,2022-11-19,2022-12-10,2022-11-21,
82,13551,629,2023-08-14,2023-10-30,2023-10-12,
83,4676,346,2022-12-25,2023-01-15,2023-01-04,
84,29726,229,2022-12-25,2023-02-12,2023-02-06,
85,9646,941,2023-05-30,2023-06-27,2023-06-20,
86,34708,850,2023-03-25,2023-06-10,2023-04-06,
87,9582,507,2023-07-26,2023-10-04,2023-09-26,
88,26994,215,2023-05-08,2023-05-29,2023-05-22,
89,12226,494,2023-04-18,2023-05-16,2023-05-13,
